"ID del Sitio - prefix","ID del Sitio - number","ID del Sitio","Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id EnergÃ­a - prefix","Id EnergÃ­a - number","Id EnergÃ­a","Id LegalizaciÃ³n - prefix","Id LegalizaciÃ³n - number","Id LegalizaciÃ³n",Estado,"Nombre del Sitio","Prioridad del Site","CategorÃ­a Site",Host,Description,"Tipo de Site","Next preventive maintenance visit","O&M subcontractor","O&M manager","Coordenadas - Latitude - WGS 84","Coordenadas - Longitude - WGS 84","Coordenadas - Elevation","Teleporte Site Id","Site Sera4","Site Sera4 Info","Sync To Sera4's Site","Sera4 site id","Site total costs","Tag from location","Griet Site","Responsable GRIET","Zona Totem",Observaciones,"Tipo de Infraestructura","Resultado Previabilidad Fibra","Motivo Previabilidad Desfavorable","Causas Abandono","Fecha de RFI","Fecha InstalaciÃ³n Tenant","Fecha Desmantelamiento","Site ID (client)"
SPA-VX,328,SPA-VX00328,LO,7339,LO-007339,PW,7353,PW-7353,AA,7338,AA-7338,Activo,VX0328,P2,Macro,,VALR0174,"Nueva Demanda",,,,38.83138,-0.576069,0.0,,false,,false,,,,false,,REST,"horario laboral, hasta las 19:00h",TORRE,,,,,,,VX0328
SPA-VA,1122,SPA-VA01122,,,-,,,-,,,-,Viabilidad,VA1122,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RNOR,,Fachada,,,,,,,
SPA-CX,470,SPA-CX00470,LO,2162,LO-002162,PW,2212,PW-2212,AA,2177,AA-2177,Activo,CX0470,P3,Macro,,,"Nueva Demanda",,,,42.786058,-8.885184,23.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,CX0470
SPA-MX,1242,SPA-MX01242,LO,4568,LO-004568,PW,4610,PW-4610,AA,4577,AA-4577,Activo,MX1242,P3,Macro,,,"Nueva Demanda",,,,40.466386,-3.590834,669.0,,false,,false,,,,false,,RCEN,"RGS_18/03/2015 mail de la residencia rmdireccion@mensajerosdelapaz.com tlf:917481552",AZOTEA,,,,,,,MX1242
SPA-LE,182,SPA-LE00182,LO,7956,LO-007956,,,-,AA,7856,AA-7856,Viabilidad,LE0182,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,LE0182
SPA-BX,2028,SPA-BX02028,LO,1251,LO-001251,PW,1308,PW-1308,AA,1267,AA-1267,Activo,BX2028,P3,DDEE,,VILAMARINA,"Nueva Demanda",,,,41.310315,2.025914,10.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX2028
SPA-MX,8129,SPA-MX08129,,,-,,,-,,,-,Viabilidad,MX8129,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RCEN,,Fachada,,,,,,,
SPA-MX,527,SPA-MX00527,LO,4425,LO-004425,PW,4467,PW-4467,AA,4435,AA-4435,Activo,MX0527,P2,Macro,,,"Nueva Demanda",,,,40.346024,-3.71302,600.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX0527
SPA-CS,23,SPA-CS00023,LO,1841,LO-001841,PW,1896,PW-1896,AA,1856,AA-1856,Activo,CS0023,P3,Macro,,"BTS VALR8922","Nueva Demanda",,,,40.371416,-0.142115,978.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,CS0023
SPA-IB,103,SPA-IB00103,LO,3066,LO-003066,PW,3112,PW-3112,AA,3080,AA-3080,Activo,IB0103,P2,Macro,,,"Nueva Demanda",,,,39.907223,3.083052,2.0,,false,,false,,,,false,,REST,"recepcion.hdaina@hoposa.es  11.14(NO CONTESTAN)",AZOTEA,,,,,,,IB0103
SPA-SO,9744,SPA-SO09744,LO,6119,LO-006119,PW,6153,PW-6153,AA,6121,AA-6121,Activo,SO9744,P3,Macro,,,"Nueva Demanda",,,,41.5988,-2.64777,1028.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,SO9744
SPA-IB,295,SPA-IB00295,LO,3150,LO-003150,PW,3196,PW-3196,AA,3163,AA-3163,Activo,IB0295,P2,Macro,,,"Nueva Demanda",,,,39.767345,3.018978,20.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,IB0295
SPA-VX,244,SPA-VX00244,LO,7320,LO-007320,PW,7335,PW-7335,AA,7319,AA-7319,Activo,VX0244,P3,Macro,,VAL0905,"Nueva Demanda",,,,39.555053,-0.394606,60.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,VX0244
SPA-VA,2203,SPA-VA02203,LO,7050,LO-007050,PW,7068,PW-7068,AA,7049,AA-7049,Activo,VA2203,P3,Macro,,"RAN SHARING VDF 0344VA EN EMPL. ORANGE","Nueva Demanda",,,,41.509404,-4.462013,860.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,VA2203
SPA-SA,5506,SPA-SA05506,LO,5677,LO-005677,PW,5711,PW-5711,AA,5681,AA-5681,Activo,SA5506,P3,Macro,,,"Nueva Demanda",,,,40.974058,-5.654886,819.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,SA5506
SPA-MX,1196,SPA-MX01196,LO,4565,LO-004565,PW,4607,PW-4607,AA,4574,AA-4574,Activo,MX1196,P3,Macro,,,"Nueva Demanda",,,,40.440313,-3.694156,714.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX1196
SPA-BU,4238,SPA-BU04238,LO,705,LO-000705,PW,760,PW-0760,AA,723,AA-0723,Activo,BU4238,P3,Macro,,,"Nueva Demanda",,,,41.842664,-3.343878,1077.0,,false,,false,,,,false,,RNOR,AYUNTAMIENTO,TORRE,,,,,,,BU4238
SPA-LX,168,SPA-LX00168,LO,3685,LO-003685,PW,3729,PW-3729,AA,3697,AA-3697,Activo,LX0168,P2,Macro,,"HUB VALLBONA DE LES MONGES","Nueva Demanda",,,,41.528455,1.08815,560.0,,false,,false,,,,false,,REST,,"LOCAL TECNICO",,,,,,,LX0168
SPA-BX,1151,SPA-BX01151,LO,1129,LO-001129,PW,1184,PW-1184,AA,1145,AA-1145,Activo,BX1151,P2,DDEE,,"HOTEL HESPERIA TOWER","Nueva Demanda",,,,41.34603,2.108429,20.0,,false,,false,,,,false,,REST,"BX1151: PROTOCOLO PREVENTIVO: ENVIAR UN MAIL CON 24 HORAS DE--ANTELACIONAL sec.nhcollectiontower@nh-hotels.com. PROTOCOLO CORRECTIVO: HABLAR DIRECTAMENTE CON EL DIRECTOR DEL--HOTEL VICTOR MENDEZ 935051747",AZOTEA,,,,,,,BX1151
SPA-AX,234,SPA-AX00234,LO,264,LO-000264,PW,328,PW-0328,AA,261,AA-0261,Activo,AX0234,P2,Macro,,,"Nueva Demanda",,,,38.388627,-0.509433,185.0,,false,,false,,,,false,,REST,"Cod. TME_0301170_SAN VICENTE DEL TORRENT",TORRE,,,,,,,AX0234
SPA-LX,9425,SPA-LX09425,LO,3710,LO-003710,PW,3754,PW-3754,AA,3722,AA-3722,Activo,LX9425,P3,Macro,,"MAYOR 39","Nueva Demanda",,,,41.709706,0.902867,25.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,LX9425
SPA-SS,5406,SPA-SS05406,LO,6194,LO-006194,PW,6226,PW-6226,AA,6194,AA-6194,Activo,SS5406,P3,Macro,,,"Nueva Demanda",,,,43.305019,-1.997261,61.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,SS5406
SPA-CX,503,SPA-CX00503,LO,2167,LO-002167,PW,2217,PW-2217,AA,2182,AA-2182,Activo,CX0503,P3,Macro,,,"Nueva Demanda",,,,43.080885,-9.178942,150.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,CX0503
SPA-ZX,332,SPA-ZX00332,LO,7735,LO-007735,PW,7744,PW-7744,AA,7733,AA-7733,Activo,ZX0332,P3,Macro,,,"Nueva Demanda",,,,41.64148,-0.909989,234.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,ZX0332
SPA-SE,298,SPA-SE00298,LO,5826,LO-005826,PW,5860,PW-5860,AA,5830,AA-5830,Activo,SE0298,P3,Macro,,,"Nueva Demanda",,,,37.383286,-5.959013,14.0,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,SE0298
SPA-SE,375,SPA-SE00375,LO,5866,LO-005866,PW,5900,PW-5900,AA,5870,AA-5870,Activo,SE0375,P2,Macro,,,"Nueva Demanda",,,,37.303835,-5.980526,21.0,,false,,false,,,,false,,RSUR,"Acceso directo en horario laboral. Fuera del horario laboral a travÃ©s de guardia de seguridad, PRESENTANDO EL DNI",TORRE,,,,,,,SE0375
SPA-CU,8523,SPA-CU08523,LO,2034,LO-002034,PW,2085,PW-2085,AA,2049,AA-2049,Activo,CU8523,P3,Macro,,,"Nueva Demanda",,,,39.475165,-1.625513,740.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,CU8523
SPA-SO,9996,SPA-SO09996,LO,6180,LO-006180,PW,6213,PW-6213,AA,6182,AA-6182,Activo,SO9996,P3,Macro,,,"Nueva Demanda",,,,41.774359,-3.140984,1087.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,SO9996
SPA-VX,59,SPA-VX00059,LO,7242,LO-007242,PW,7259,PW-7259,AA,7241,AA-7241,Activo,VX0059,P2,Macro,,"BTS VALR0861","Nueva Demanda",,,,39.435658,-0.474905,53.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,VX0059
SPA-AL,8940,SPA-AL08940,LO,120,LO-000120,PW,187,PW-0187,AA,119,AA-0119,Activo,AL8940,P2,Macro,,,"Nueva Demanda",,,,36.962185,-2.207335,316.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,AL8940
SPA-BX,6088,SPA-BX06088,LO,1417,LO-001417,PW,1475,PW-1475,AA,1433,AA-1433,Activo,BX6088,P3,Macro,,SABA,"Nueva Demanda",,,,41.537131,2.444266,0.0,,false,,false,,,,false,,REST,,,,,,,,,BX6088
SPA-TF,6212,SPA-TF06212,LO,6552,LO-006552,PW,6578,PW-6578,AA,6552,AA-6552,Activo,TF6212,P3,Macro,,,"Nueva Demanda",,,,28.132986,-16.462108,80.0,,false,,false,,,,false,,RCEN,ABADES,TORRE,,,,,,,TF6212
SPA-CU,8496,SPA-CU08496,LO,2019,LO-002019,PW,2070,PW-2070,AA,2034,AA-2034,Activo,CU8496,P1,Macro,,,"Nueva Demanda",,,,39.631998,-1.810385,1044.0,,false,,false,,,,false,,RCEN,"CENTRO GRIET -",TORRE,,,,,,,CU8496
SPA-AB,6140,SPA-AB06140,LO,64,LO-000064,PW,131,PW-0131,AA,64,AA-0064,Activo,AB6140,P3,Macro,,,"Nueva Demanda",,,,38.1461,-2.297958,1171.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,AB6140
SPA-BX,1522,SPA-BX01522,LO,1165,LO-001165,PW,1220,PW-1220,AA,1181,AA-1181,Activo,BX1522,P3,Macro,,,"Nueva Demanda",,,,41.400159,2.130012,106.0,,false,,false,,,,false,,REST,"20200713 Nuevo inquilino: Jordi Serra 687 808 759",AZOTEA,,,,,,,BX1522
SPA-MU,159,SPA-MU00159,LO,4082,LO-004082,PW,4124,PW-4124,AA,4092,AA-4092,Activo,MU0159,P2,Macro,,MUR0118,"Nueva Demanda",,,,37.971528,-1.124082,44.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,MU0159
SPA-AB,5918,SPA-AB05918,LO,36,LO-000036,PW,103,PW-0103,AA,36,AA-0036,Activo,AB5918,P3,Macro,,,"Nueva Demanda",,,,38.1142,-2.385958,1597.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,AB5918
SPA-SE,1559,SPA-SE01559,LO,5973,LO-005973,PW,6007,PW-6007,AA,5975,AA-5975,Activo,SE1559,P3,Macro,,,"Nueva Demanda",,,,37.330072,-6.061537,46.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,SE1559
SPA-JX,8307,SPA-JX08307,LO,3333,LO-003333,PW,3380,PW-3380,AA,3345,AA-3345,Activo,JX8307,P3,DDEE,,"ECI JAEN (AVDA. MADRID,1 0921)","Nueva Demanda",,,,37.7756,-3.786075,0.0,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,JX8307
SPA-BX,1256,SPA-BX01256,LO,1133,LO-001133,PW,1188,PW-1188,AA,1149,AA-1149,Activo,BX1256,P3,DDEE,,,"Nueva Demanda",,,,41.356003,2.136707,40.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX1256
SPA-BI,637,SPA-BI00637,LO,564,LO-000564,PW,621,PW-0621,AA,564,AA-0564,Activo,BI0637,P3,Macro,,,"Nueva Demanda",,,,42.995218,-3.010381,373.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,BI0637
SPA-BU,4177,SPA-BU04177,LO,676,LO-000676,PW,732,PW-0732,AA,694,AA-0694,Desmantelado,BU4177,P3,Macro,,,"Nueva Demanda",,,,42.710114,-3.614858,1038.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,BU4177
SPA-GC,1936,SPA-GC01936,LO,2457,LO-002457,PW,2504,PW-2504,AA,2471,AA-2471,Activo,GC1936,P3,DDEE,,,"Nueva Demanda",,,,28.032242,-15.404694,,,false,,false,,,,false,,RCEN,"EXTREMAR EL CUIDADO, PROPIEDAD COMPLICADA, POSIBLE REPLIEGUE. act SM 2016",AZOTEA,,,,,,,GC1936
SPA-MX,615,SPA-MX00615,LO,4455,LO-004455,PW,4497,PW-4497,AA,4465,AA-4465,Activo,MX0615,P1,Macro,,"INDUSTRIAL CAMPORROSSO S.L.","Nueva Demanda",,,,40.512333,-3.406621,616.0,,false,,false,,,,false,,RCEN,"CENTRO GRIET - Acceso independiente. 2 juegos de llaves en Ulises (SM.Oct.2017)",TORRE,,,,,,,MX0615
SPA-GI,8655,SPA-GI08655,LO,2599,LO-002599,PW,2645,PW-2645,AA,2613,AA-2613,Activo,GI8655,P3,Macro,,,"Nueva Demanda",,,,41.855057,2.878484,112.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,GI8655
SPA-MA,2922,SPA-MA02922,LO,3928,LO-003928,PW,3971,PW-3971,AA,3939,AA-3939,Activo,MA2922,P3,Macro,,,"Nueva Demanda",,,,36.519972,-4.937903,87.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,MA2922
SPA-BI,407,SPA-BI00407,LO,512,LO-000512,PW,572,PW-0572,AA,512,AA-0512,Activo,BI0407,P3,Micro,,,"Nueva Demanda",,,,43.307327,-3.006551,61.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,BI0407
SPA-SS,5614,SPA-SS05614,LO,6225,LO-006225,PW,6257,PW-6257,AA,6225,AA-6225,Activo,SS5614,P3,Macro,,,"Nueva Demanda",,,,43.189,-2.251758,397.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,SS5614
SPA-MX,26,SPA-MX00026,LO,4195,LO-004195,PW,4235,PW-4235,AA,4205,AA-4205,Activo,MX0026,P3,Macro,,,"Nueva Demanda",,,,40.444207,-3.683893,692.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX0026
SPA-AV,8502,SPA-AV08502,LO,170,LO-000170,PW,235,PW-0235,AA,169,AA-0169,Desmantelado,AV8502,P3,Macro,,,"Nueva Demanda",,,,40.290403,-5.006708,819.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,AV8502
SPA-TX,7800,SPA-TX07800,LO,6953,LO-006953,PW,6973,PW-6973,AA,6952,AA-6952,Activo,TX7800,P3,Macro,,,"Nueva Demanda",,,,41.286258,1.396056,325.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,TX7800
SPA-MX,177,SPA-MX00177,LO,4279,LO-004279,PW,4319,PW-4319,AA,4289,AA-4289,Activo,MX0177,P3,Macro,,"ADIF: 321-2015-0215. ESTACIÃN DE EL PLANTIO","Nueva Demanda",,,,40.472045,-3.83062,690.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,MX0177
SPA-SE,2229,SPA-SE02229,LO,6005,LO-006005,PW,6039,PW-6039,AA,6007,AA-6007,Activo,SE2229,P3,Macro,,,"Nueva Demanda",,,,37.033305,-5.991648,0.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,SE2229
SPA-TX,7805,SPA-TX07805,LO,6954,LO-006954,PW,6974,PW-6974,AA,6953,AA-6953,Activo,TX7805,P3,Macro,,,"Nueva Demanda",,,,41.074748,1.119504,3.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,TX7805
SPA-PO,6200,SPA-PO06200,LO,5540,LO-005540,PW,5574,PW-5574,AA,5544,AA-5544,Activo,PO6200,P3,Macro,,"TANATORIO DE SAN MARCOS","Nueva Demanda",,,,42.385728,-8.696271,59.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,PO6200
SPA-MU,592,SPA-MU00592,LO,4148,LO-004148,PW,4190,PW-4190,AA,4158,AA-4158,Activo,MU0592,P3,Macro,,"MURE0190  MURE0190","Nueva Demanda",,,,38.053085,-1.087799,50.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,MU0592
SPA-BX,889,SPA-BX00889,LO,1040,LO-001040,PW,1096,PW-1096,AA,1056,AA-1056,Activo,BX0889,P3,DDEE,,"(HOTEL CATALONIA PUTXET)","Nueva Demanda",,,,41.40724,2.144332,0.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX0889
SPA-SO,9836,SPA-SO09836,LO,6147,LO-006147,PW,6181,PW-6181,AA,6149,AA-6149,Activo,SO9836,P2,Macro,,,"Nueva Demanda",,,,41.770541,-2.261402,1164.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,SO9836
SPA-BX,2054,SPA-BX02054,LO,1254,LO-001254,PW,1311,PW-1311,AA,1270,AA-1270,Activo,BX2054,P1,Macro,,,"Nueva Demanda",,,,41.716635,1.851162,321.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,BX2054
SPA-PX,7815,SPA-PX07815,LO,5631,LO-005631,PW,5665,PW-5665,AA,5635,AA-5635,Activo,PX7815,P2,Macro,,,"Nueva Demanda",,,,42.032554,-4.327829,756.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX7815
SPA-VX,47,SPA-VX00047,LO,7234,LO-007234,PW,7251,PW-7251,AA,7233,AA-7233,Desmantelado,VX0047,P3,Macro,,,"Nueva Demanda",,,,39.543997,-0.446744,118.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,VX0047
SPA-BX,2723,SPA-BX02723,LO,1321,LO-001321,PW,1378,PW-1378,AA,1337,AA-1337,Activo,BX2723,P3,Macro,,,"Nueva Demanda",,,,41.387962,1.598195,318.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,BX2723
SPA-IB,310,SPA-IB00310,LO,3157,LO-003157,PW,3203,PW-3203,AA,3170,AA-3170,Activo,IB0310,P1,Macro,,,"Nueva Demanda",,,,39.578367,2.659863,25.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,IB0310
SPA-PO,6327,SPA-PO06327,LO,5554,LO-005554,PW,5588,PW-5588,AA,5558,AA-5558,Activo,PO6327,P3,Macro,,,"Nueva Demanda",,,,42.515329,-8.496525,323.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PO6327
SPA-SE,1111,SPA-SE01111,,,-,,,-,,,-,Viabilidad,SE1111,P3,,,,Repliegue,,,,,,,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,
SPA-MA,9187,SPA-MA09187,LO,4007,LO-004007,PW,4050,PW-4050,AA,4018,AA-4018,Activo,MA9187,P3,Macro,,,"Nueva Demanda",,,,36.741738,-4.477135,148.0,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,MA9187
SPA-LE,301,SPA-LE00301,LO,3389,LO-003389,PW,3436,PW-3436,AA,3401,AA-3401,Activo,LE0301,P3,Macro,,,"Nueva Demanda",,,,42.44072,-5.886588,811.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,LE0301
SPA-MX,608,SPA-MX00608,LO,4451,LO-004451,PW,4493,PW-4493,AA,4461,AA-4461,Activo,MX0608,P1,Macro,,,"Nueva Demanda",,,,40.289151,-3.798514,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX0608
SPA-MA,3911,SPA-MA03911,LO,3999,LO-003999,PW,4042,PW-4042,AA,4010,AA-4010,Activo,MA3911,P3,Macro,,,"Nueva Demanda",,,,36.73594,-4.119795,90.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,MA3911
SPA-GC,2006,SPA-GC02006,LO,2461,LO-002461,PW,2508,PW-2508,AA,2475,AA-2475,Activo,GC2006,P2,Macro,,,"Nueva Demanda",,,,28.862879,-13.830831,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,GC2006
SPA-SX,801,SPA-SX00801,LO,6310,LO-006310,PW,6341,PW-6341,AA,6310,AA-6310,Activo,SX0801,P1,Macro,,,"Nueva Demanda",,,,43.000259,-4.136545,837.0,,false,,false,,,,false,,RNOR,"CENTRO GRIET -",AZOTEA,,,,,,,SX0801
